Character	Luminance
 	0.00000
!	0.01245
\"	0.01074
#	0.05029
$	0.04688
%	0.05200
&	0.04517
'	0.00537
(	0.01904
)	0.01904
*	0.01172
+	0.01978
,	0.00439
-	0.00659
.	0.00220
/	0.01172
0	0.04102
1	0.02075
2	0.03418
3	0.03662
4	0.03491
5	0.04053
6	0.04419
7	0.02515
8	0.04321
9	0.04321
:	0.00439
;	0.00659
<	0.01978
=	0.02197
>	0.01978
?	0.02563
@	0.09985
A	0.03906
B	0.05322
C	0.03931
D	0.04810
E	0.04321
F	0.03442
G	0.04932
H	0.04175
I	0.01685
J	0.02368
K	0.04126
L	0.02490
M	0.06372
N	0.04712
O	0.04590
P	0.04077
Q	0.05078
R	0.04907
S	0.04321
T	0.02856
U	0.03833
V	0.03491
W	0.06543
X	0.03662
Y	0.02856
Z	0.04175
[	0.02563
\\	0.01172
]	0.02563
^	0.01465
_	0.01392
`	0.00342
a	0.03613
b	0.03784
c	0.02539
d	0.03760
e	0.03271
f	0.02271
g	0.04517
h	0.03442
i	0.01465
j	0.02051
k	0.03345
l	0.01685
m	0.04541
n	0.02979
o	0.03027
p	0.03784
q	0.03809
r	0.01660
s	0.03247
t	0.02173
u	0.02954
v	0.02222
w	0.03979
x	0.02344
y	0.02905
z	0.03052
{	0.02563
|	0.01465
}	0.02515
~	0.01245
